question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer
41,α-Phellandrene,CC1=CCC(C=C1)C(C)C,,,hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR2W1;hOR1A1,or_activation,Among the following [hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR2W1;hOR1A1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1=CCC(C=C1)C(C)C] activates. Do not write any comments.,Among the following [hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR2W1;hOR1A1] olfactory receptor gene IDs choose all olfactory receptors that molecule [α-Phellandrene] activates. Do not write any comments.,hOR2W1_D296N
42,cyclopentadecanone,C1CCCCCCCC(=O)CCCCCC1,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1CCCCCCCC(=O)CCCCCC1] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [cyclopentadecanone] activates. Do not write any comments.,hOR5A2;hOR5AN1
43,2-Acetyl-3-ethylpyrazine,CCC1=NC=CN=C1C(=O)C,,,hOR5K1;hOR5K4;OR5K3;hOR5K2,or_activation,Among the following [hOR5K1;hOR5K4;OR5K3;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCC1=NC=CN=C1C(=O)C] activates. Do not write any comments.,Among the following [hOR5K1;hOR5K4;OR5K3;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-Acetyl-3-ethylpyrazine] activates. Do not write any comments.,hOR5K1
44,Ethyl 3-methylbutanoate,CCOC(=O)CC(C)C,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCOC(=O)CC(C)C] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Ethyl 3-methylbutanoate] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N
45,2-hexanone,CCCCC(=O)C,,,hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1,or_activation,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCC(=O)C] activates. Do not write any comments.,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-hexanone] activates. Do not write any comments.,hOR2W1
46,"(5R/5S)-δ-Dodecalactone, sum of isomers",CCCCCCCC1CCCC(=O)O1,,,hOR1D2;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR1D2;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCCCCC1CCCC(=O)O1] activates. Do not write any comments.,"Among the following [hOR1D2;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(5R/5S)-δ-Dodecalactone, sum of isomers] activates. Do not write any comments.",hOR1D2
47,2-Acetyl-3-methylpyrazine,CC1=NC=CN=C1C(=O)C,,,hOR5K1;hOR5K4;OR5K3;hOR5K2,or_activation,Among the following [hOR5K1;hOR5K4;OR5K3;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1=NC=CN=C1C(=O)C] activates. Do not write any comments.,Among the following [hOR5K1;hOR5K4;OR5K3;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-Acetyl-3-methylpyrazine] activates. Do not write any comments.,hOR5K1
48,3-hydroxy-3-methylhexanoic acid,CCCC(C)(CC(=O)O)O,,,hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1,or_activation,Among the following [hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCC(C)(CC(=O)O)O] activates. Do not write any comments.,Among the following [hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [3-hydroxy-3-methylhexanoic acid] activates. Do not write any comments.,hOR52E8
49,Benzophenone,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,,,hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1,or_activation,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1=CC=C(C=C1)C(=O)C2=CC=CC=C2] activates. Do not write any comments.,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Benzophenone] activates. Do not write any comments.,hOR2W1;hOR1A1
50,cyclopentenyl propionate musk,CCC(=O)OCC(C)(C)CC1=C(CCC1C(=C)C)C,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCC(=O)OCC(C)(C)CC1=C(CCC1C(=C)C)C] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [cyclopentenyl propionate musk] activates. Do not write any comments.,hOR5A2
51,piperonal,C1OC2=C(O1)C=C(C=C2)C=O,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR3A1;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR3A1;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1OC2=C(O1)C=C(C=C2)C=O] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR3A1;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [piperonal] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V
52,quinoline,C1=CC=C2C(=C1)C=CC=N2,,,hOR2A25_S75N_A209P;hOR2A25;hOR2B11_V198M_G223D;hOR2B11_V198M_T293I_D300G;hOR2B11_V198M;hOR2B11;hOR2B11_I130S_V198M;hOR1G1;hOR52D1,or_activation,Among the following [hOR2A25_S75N_A209P;hOR2A25;hOR2B11_V198M_G223D;hOR2B11_V198M_T293I_D300G;hOR2B11_V198M;hOR2B11;hOR2B11_I130S_V198M;hOR1G1;hOR52D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1=CC=C2C(=C1)C=CC=N2] activates. Do not write any comments.,Among the following [hOR2A25_S75N_A209P;hOR2A25;hOR2B11_V198M_G223D;hOR2B11_V198M_T293I_D300G;hOR2B11_V198M;hOR2B11;hOR2B11_I130S_V198M;hOR1G1;hOR52D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [quinoline] activates. Do not write any comments.,hOR2A25_S75N_A209P;hOR2A25;hOR2B11_V198M_T293I_D300G;hOR2B11_V198M;hOR2B11;hOR1G1
53,Musk ambrette,CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-]] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Musk ambrette] activates. Do not write any comments.,hOR5A2;hOR5AN1
54,3-Sulfanyl-1hexanol,CCCC(CCO)S,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCC(CCO)S] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [3-Sulfanyl-1hexanol] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N
55,Moskene,CC1=C(C=C2C(=C1[N+](=O)[O-])C(CC2(C)C)(C)C)[N+](=O)[O-],,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1=C(C=C2C(=C1[N+](=O)[O-])C(CC2(C)C)(C)C)[N+](=O)[O-]] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Moskene] activates. Do not write any comments.,hOR5A2
56,Methyl butanoate,CCCC(=O)OC,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCC(=O)OC] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Methyl butanoate] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V
57,Phantolide,CC1C(C2=C(C1(C)C)C=C(C(=C2)C)C(=O)C)(C)C,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1C(C2=C(C1(C)C)C=C(C(=C2)C)C(=O)C)(C)C] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Phantolide] activates. Do not write any comments.,hOR5A2;hOR11A1
58,3-Methyl-3-sulfanylbutyl formate,CC(C)(CCOC=O)S,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(C)(CCOC=O)S] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [3-Methyl-3-sulfanylbutyl formate] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V
59,"(4R/4S)-γ-Dodecalactone, sum of isomers",CCCCCCCCC1CCC(=O)O1,,,hOR1D2;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR1D2;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCCCCCC1CCC(=O)O1] activates. Do not write any comments.,"Among the following [hOR1D2;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(4R/4S)-γ-Dodecalactone, sum of isomers] activates. Do not write any comments.",hOR1D2
60,Cinnamyl acetate,CC(=O)OC/C=C/C1=CC=CC=C1,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(=O)OC/C=C/C1=CC=CC=C1] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Cinnamyl acetate] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V
61,Whiskey lactone,CCCCC1C(CC(=O)O1)C,,,hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR2W1;hOR1A1,or_activation,Among the following [hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR2W1;hOR1A1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCC1C(CC(=O)O1)C] activates. Do not write any comments.,Among the following [hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR2W1;hOR1A1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Whiskey lactone] activates. Do not write any comments.,hOR2W1_D296N;hOR2W1_M81V
62,(-)-cis-Whiskey lactone,CCCC[C@H]1[C@H](CC(=O)O1)C,,,hOR2W1;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1,or_activation,Among the following [hOR2W1;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCC[C@H]1[C@H](CC(=O)O1)C] activates. Do not write any comments.,Among the following [hOR2W1;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(-)-cis-Whiskey lactone] activates. Do not write any comments.,hOR2W1
63,Benzoic acid,C1=CC=C(C=C1)C(=O)O,,,hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1,or_activation,Among the following [hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1=CC=C(C=C1)C(=O)O] activates. Do not write any comments.,Among the following [hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Benzoic acid] activates. Do not write any comments.,hOR51I2;hOR52D1
64,"3,7-Dimethyl-2,6-octadienal",CC(=CCCC(=CC=O)C)C,,,hOR1A2;hOR1A1;OR52B2;hOR51A4;hOR52A1;hOR10G8;hOR7D4;hOR7D4_R88W_T133M,or_activation,Among the following [hOR1A2;hOR1A1;OR52B2;hOR51A4;hOR52A1;hOR10G8;hOR7D4;hOR7D4_R88W_T133M] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(=CCCC(=CC=O)C)C] activates. Do not write any comments.,"Among the following [hOR1A2;hOR1A1;OR52B2;hOR51A4;hOR52A1;hOR10G8;hOR7D4;hOR7D4_R88W_T133M] olfactory receptor gene IDs choose all olfactory receptors that molecule [3,7-Dimethyl-2,6-octadienal] activates. Do not write any comments.",hOR1A2;hOR1A1;OR52B2;hOR51A4
65,cuminaldehyde,CC(C)C1=CC=C(C=C1)C=O,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR8H1;hOR5K1;hOR2M3;hOR11A1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR8H1;hOR5K1;hOR2M3;hOR11A1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(C)C1=CC=C(C=C1)C=O] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR8H1;hOR5K1;hOR2M3;hOR11A1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [cuminaldehyde] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR8H1
66,Benzyl alcohol,C1=CC=C(C=C1)CO,,,hOR2W1;hOR52D1;OR2T34;hOR5AC2;hOR5B17;hOR1L3;OR2G2;hOR2B3;hOR2T10;hOR2M4,or_activation,Among the following [hOR2W1;hOR52D1;OR2T34;hOR5AC2;hOR5B17;hOR1L3;OR2G2;hOR2B3;hOR2T10;hOR2M4] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1=CC=C(C=C1)CO] activates. Do not write any comments.,Among the following [hOR2W1;hOR52D1;OR2T34;hOR5AC2;hOR5B17;hOR1L3;OR2G2;hOR2B3;hOR2T10;hOR2M4] olfactory receptor gene IDs choose all olfactory receptors that molecule [Benzyl alcohol] activates. Do not write any comments.,hOR52D1
67,2-Methylbutyl acetate,CCC(C)COC(=O)C,,,hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR1A1,or_activation,Among the following [hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR1A1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCC(C)COC(=O)C] activates. Do not write any comments.,Among the following [hOR2W1_D296N;hOR2W1_M81V;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR1A1] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-Methylbutyl acetate] activates. Do not write any comments.,hOR2W1_D296N;hOR2W1_M81V
68,(R)-Limonene,CC1=CC[C@@H](CC1)C(=C)C,,,hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR2M3;hOR2W1,or_activation,Among the following [hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR2M3;hOR2W1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1=CC[C@@H](CC1)C(=C)C] activates. Do not write any comments.,Among the following [hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR2M3;hOR2W1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(R)-Limonene] activates. Do not write any comments.,hOR2W1_D296N;hOR2W1_M81V;hOR1A1
69,prenyl acetate,CC(=CCOC(=O)C)C,,,hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1,or_activation,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(=CCOC(=O)C)C] activates. Do not write any comments.,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [prenyl acetate] activates. Do not write any comments.,hOR2W1
70,Dimethyl trisulfide,CSSSC,,,hOR2W1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR2W1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CSSSC] activates. Do not write any comments.,Among the following [hOR2W1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Dimethyl trisulfide] activates. Do not write any comments.,hOR2W1
71,Undecanoic acid,CCCCCCCCCCC(=O)O,,,hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1,or_activation,Among the following [hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCCCCCCCC(=O)O] activates. Do not write any comments.,Among the following [hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Undecanoic acid] activates. Do not write any comments.,hOR56A5
72,2-Phenylethanethiol,C1=CC=C(C=C1)CCS,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1=CC=C(C=C1)CCS] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-Phenylethanethiol] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1
73,sylkolide,CC(C)/C=C(\C)/C(C)OC(C)(C)COC(=O)C1CC1,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(C)/C=C(\C)/C(C)OC(C)(C)COC(=O)C1CC1] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [sylkolide] activates. Do not write any comments.,hOR5A2
74,nerolidol,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,,,hOR1A2;hOR1A1;OR2T34;hOR5AC2;hOR1G1;hOR5B17;hOR1L3;OR2G2;hOR2T10,or_activation,Among the following [hOR1A2;hOR1A1;OR2T34;hOR5AC2;hOR1G1;hOR5B17;hOR1L3;OR2G2;hOR2T10] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C] activates. Do not write any comments.,Among the following [hOR1A2;hOR1A1;OR2T34;hOR5AC2;hOR1G1;hOR5B17;hOR1L3;OR2G2;hOR2T10] olfactory receptor gene IDs choose all olfactory receptors that molecule [nerolidol] activates. Do not write any comments.,hOR1A2;hOR1A1
75,4-Propyl-2-methoxyphenol,CCCC1=CC(=C(C=C1)O)OC,,,hOR8H1;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR8H1;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCC1=CC(=C(C=C1)O)OC] activates. Do not write any comments.,Among the following [hOR8H1;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [4-Propyl-2-methoxyphenol] activates. Do not write any comments.,hOR8H1
76,benzaldehyde,C1=CC=C(C=C1)C=O,,,hOR1D2;hOR52D1;OR2T34;hOR5AC2;hOR5B17;hOR1L3;OR2G2;hOR2B3;hOR2T10;hOR2M4,or_activation,Among the following [hOR1D2;hOR52D1;OR2T34;hOR5AC2;hOR5B17;hOR1L3;OR2G2;hOR2B3;hOR2T10;hOR2M4] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1=CC=C(C=C1)C=O] activates. Do not write any comments.,Among the following [hOR1D2;hOR52D1;OR2T34;hOR5AC2;hOR5B17;hOR1L3;OR2G2;hOR2B3;hOR2T10;hOR2M4] olfactory receptor gene IDs choose all olfactory receptors that molecule [benzaldehyde] activates. Do not write any comments.,hOR52D1
77,1-dodecanol,CCCCCCCCCCCCO,,,OR2W3;OR2T4;hOR1G1;OR2A7;OR2A42;hOR52D1;OR51B5;OR2L13;OR10S1,or_activation,Among the following [OR2W3;OR2T4;hOR1G1;OR2A7;OR2A42;hOR52D1;OR51B5;OR2L13;OR10S1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCCCCCCCCCO] activates. Do not write any comments.,Among the following [OR2W3;OR2T4;hOR1G1;OR2A7;OR2A42;hOR52D1;OR51B5;OR2L13;OR10S1] olfactory receptor gene IDs choose all olfactory receptors that molecule [1-dodecanol] activates. Do not write any comments.,hOR1G1;OR2L13;OR10S1
78,"(3R/3S)-3-Hydroxybutan-2-one, sum of isomers",CC(C(=O)C)O,,,hOR5K1;hOR2M3;hOR2W1;hOR1G1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR52D1;hOR8D1,or_activation,Among the following [hOR5K1;hOR2M3;hOR2W1;hOR1G1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR52D1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(C(=O)C)O] activates. Do not write any comments.,"Among the following [hOR5K1;hOR2M3;hOR2W1;hOR1G1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR52D1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(3R/3S)-3-Hydroxybutan-2-one, sum of isomers] activates. Do not write any comments.",hOR1G1;hOR52D1
