question_ID,compound.name,SMILES_1,SMILES_2,question_category,prompt.1,prompt.2,answer,Intensity_1,Intensity_2
INT-0145,4-Methoxybenzyl acetate,COc1cc(C)ccc1O,COc1ccc(COC(C)=O)cc1,Intensity,,,COc1ccc(COC(C)=O)cc1 | 4-Methoxybenzyl acetate,51.202797203,61.441860465
INT-0146,2-Phenylethyl Acetate,C=CCc1ccc(OC(C)=O)c(OC)c1,CC(=O)OCCc1ccccc1,Intensity,,,CC(=O)OCCc1ccccc1 | 2-Phenylethyl Acetate,51.630434783,61.428571429
INT-0147,Hexyl propionate,CC1(C)C2CC=C(C=O)C1C2,CCCCCCOC(=O)CC,Intensity,,,CCCCCCOC(=O)CC | Hexyl propionate,51.75,61.266666667
INT-0148,4-Methylcyclohexanone,CCC(=O)OCCc1ccccc1,CC1CCC(=O)CC1,Intensity,,,CC1CCC(=O)CC1 | 4-Methylcyclohexanone,52.2,61.068181818
INT-0149,"2,4-Dithiapentane",CCc1ccco1,CSCSC,Intensity,,,"CSCSC | 2,4-Dithiapentane",52.538461538,60.62195122
INT-0150,Allyl furoate,CCCCCCC1CCC(=O)O1,C=CCOC(=O)c1ccco1,Intensity,,,C=CCOC(=O)c1ccco1 | Allyl furoate,52.604166667,60.14893617
INT-0151,Amyl butyrate,CCCCOC(=O)[C@H](C)O,CCCCCOC(=O)CCC,Intensity,,,CCCCCOC(=O)CCC | Amyl butyrate,52.666666667,59.933333333
INT-0152,2-Thiocresol,CSc1ccoc1C,Cc1ccccc1S,Intensity,,,Cc1ccccc1S | 2-Thiocresol,52.8,59.768115942
INT-0153,"alpha-Pinene, (+)-",CCC[C@H]1CCO[C@@H](C)S1,CC1=CC[C@@H]2C[C@H]1C2(C)C,Intensity,,,"CC1=CC[C@@H]2C[C@H]1C2(C)C | alpha-Pinene, (+)-",53.253731343,59.666666667
INT-0154,Guaiacol,C=C(C)C(=O)OC,COc1ccccc1O,Intensity,,,COc1ccccc1O | Guaiacol,53.575,59.662790698
INT-0155,Sotolone,CC=CC(=O)C(C)CC,CC1=C(O)C(=O)OC1C,Intensity,,,CC1=C(O)C(=O)OC1C | Sotolone,53.604938272,59.617283951
INT-0156,"2,4-Dimethyl-3-cyclohexene carboxaldehyde",C=CCOC(=O)c1ccccc1N,CC1=CC(C)C(C=O)CC1,Intensity,,,"CC1=CC(C)C(C=O)CC1 | 2,4-Dimethyl-3-cyclohexene carboxaldehyde",53.891304348,59.511111111
INT-0157,Allyl cyclohexanepropionate,CSC,C=CCOC(=O)CCC1CCCCC1,Intensity,,,C=CCOC(=O)CCC1CCCCC1 | Allyl cyclohexanepropionate,54.133333333,59.446808511
INT-0158,Ethyl 3-hydroxyhexanoate,CC(=O)OCC1CCCO1,CCCC(O)CC(=O)OCC,Intensity,,,CCCC(O)CC(=O)OCC | Ethyl 3-hydroxyhexanoate,54.244444444,59.428571429
INT-0159,L-Proline,CCc1nccnc1CC,O=C(O)[C@@H]1CCCN1,Intensity,,,O=C(O)[C@@H]1CCCN1 | L-Proline,54.534246575,59.35
INT-0160,Butyl butyrate,CCCCCCCC(=O)OCC,CCCCOC(=O)CCC,Intensity,,,CCCCOC(=O)CCC | Butyl butyrate,54.717391304,58.632653061
INT-0161,5-Methylfurfural,CCCCCC(C=O)=Cc1ccccc1,Cc1ccc(C=O)o1,Intensity,,,Cc1ccc(C=O)o1 | 5-Methylfurfural,55.162790698,58.605263158
INT-0162,Ethyl ketone,O=C(Cc1ccccc1)OCc1ccccc1,CCC(=O)CC,Intensity,,,CCC(=O)CC | Ethyl ketone,55.195121951,58.578947368
INT-0163,Diethyl Malonate,C=CC(CCCCC)OC(C)=O,CCOC(=O)CC(=O)OCC,Intensity,,,CCOC(=O)CC(=O)OCC | Diethyl Malonate,55.568181818,58.571428571
INT-0164,"5,6,7,8-Tetrahydroquinoxaline",c1ccsc1,c1cnc2c(n1)CCCC2,Intensity,,,"c1cnc2c(n1)CCCC2 | 5,6,7,8-Tetrahydroquinoxaline",55.676470588,58.215189873
INT-0165,Cinnamic Acid,C=CCOC(=O)C=Cc1ccccc1,O=C(O)C=Cc1ccccc1,Intensity,,,O=C(O)C=Cc1ccccc1 | Cinnamic Acid,55.725,58.181818182
INT-0166,Hexyl acetate,c1ccc(Oc2ccccc2)cc1,CCCCCCOC(C)=O,Intensity,,,CCCCCCOC(C)=O | Hexyl acetate,55.808510638,57.545454545
INT-0167,Isobutyl propionate,CC(=O)OCCC1=CCC2CC1C2(C)C,CCC(=O)OCC(C)C,Intensity,,,CCC(=O)OCC(C)C | Isobutyl propionate,56.022222222,57.23255814
INT-0168,Cuminaldehyde,Cc1nc(C)c(C)s1,CC(C)c1ccc(C=O)cc1,Intensity,,,CC(C)c1ccc(C=O)cc1 | Cuminaldehyde,56.0875,57.046511628
INT-0169,Vanillin acetate,OCc1ccco1,CC(=O)O.COc1cc(C=O)ccc1O,Intensity,,,CC(=O)O.COc1cc(C=O)ccc1O | Vanillin acetate,56.577777778,56.777777778
